Plot,Diversity,gencolor,Caoba Diversity,color,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,Piscidia piscipula,Tabebuia rosea,Enterlobium cyclocarpum,m,q,r,x,y,z,row,col,Species,caoba,treesp,rowp,colp,cols,rows
53,Monoculture,,Monoculture,#33a02c,,,,,,Enterlobium cyclocarpum,,,,,,,4,9,Enterlobium cyclocarpum,,1,,,,
2,Monoculture,white,Monoculture,#33a02c,,,,,,,,,1,,,,2,1,Swietenia macrophylla,1,1,2,1,1.2,1.8
8,Monoculture,white,Monoculture,#33a02c,,,,,,,,,,,,1,1,2,Swietenia macrophylla,1,1,1,2,2.2,0.8
14,Monoculture,white,Monoculture,#33a02c,,,,,,,,,,,,1,7,2,Swietenia macrophylla,1,1,7,2,2.2,6.8
22,Monoculture,white,Monoculture,#33a02c,,,,,,,,1,,,,,1,4,Swietenia macrophylla,1,1,1,4,4.2,0.8
34,Monoculture,white,Monoculture,#33a02c,,,,,,,,,1,,,,6,5,Swietenia macrophylla,1,1,6,5,5.2,5.8
40,Monoculture,white,Monoculture,#33a02c,,,,,,,1,,,,,,5,6,Swietenia macrophylla,1,1,5,6,6.2,4.8
43,Monoculture,white,Monoculture,#33a02c,,,,,,,1,,,,,,2,7,Swietenia macrophylla,1,1,2,7,7.2,1.8
52,Monoculture,white,Monoculture,#33a02c,,,,,,,,,,1,,,3,9,Swietenia macrophylla,1,1,3,9,9.2,2.8
58,Monoculture,white,Monoculture,#33a02c,,,,,,,,,,,1,,1,11,Swietenia macrophylla,1,1,1,11,11.2,0.8
60,Monoculture,white,Monoculture,#33a02c,,,,,,,,,,1,,,3,11,Swietenia macrophylla,1,1,3,11,11.2,2.8
65,Monoculture,white,Monoculture,#33a02c,,,,,,,,,,,1,,4,12,Swietenia macrophylla,1,1,4,12,12.2,3.8
73,Monoculture,white,Monoculture,#33a02c,,,,,,,,1,,,,,3,14,Swietenia macrophylla,1,1,3,14,14.2,2.8
71,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,Piscidia piscipula,,,,,,,,,1,14,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra, Piscidia piscipula",,4,1,14,14.2,0.8
45,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,,Tabebuia rosea,,,,,,,,4,7,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra, Tabebuia rosea",,4,4,7,7.2,3.8
31,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,,,Enterlobium cyclocarpum,,,,,,,3,5,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra,  Enterlobium cyclocarpum",,4,3,5,5.2,2.8
13,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,Piscidia piscipula,Tabebuia rosea,,,,,,,,6,2,"Swietenia macrophylla, Ceiba pentandra,  Piscidia piscipula, Tabebuia rosea",,4,6,2,2.2,5.8
16,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,Piscidia piscipula,,Enterlobium cyclocarpum,,,,,,,2,3,"Swietenia macrophylla, Ceiba pentandra,  Piscidia piscipula,  Enterlobium cyclocarpum",,4,2,3,3.2,1.8
59,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,2,11,"Swietenia macrophylla, Ceiba pentandra, Tabebuia rosea, Enterlobium cyclocarpum",,4,2,11,11.2,1.8
1,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,1,1,"Swietenia macrophylla, Ceiba pentandra, Tabebuia rosea, Enterlobium cyclocarpum",,4,1,1,1.2,0.8
42,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,Piscidia piscipula,Tabebuia rosea,,,,,,,,1,7,"Swietenia macrophylla,  Cordia dodecandra, Piscidia piscipula, Tabebuia rosea",,4,1,7,7.2,0.8
51,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,Piscidia piscipula,Tabebuia rosea,,,,,,,,2,9,"Swietenia macrophylla,  Cordia dodecandra, Piscidia piscipula, Tabebuia rosea",,4,2,9,9.2,1.8
27,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,Piscidia piscipula,,Enterlobium cyclocarpum,,,,,,,6,4,"Swietenia macrophylla,  Cordia dodecandra, Piscidia piscipula,  Enterlobium cyclocarpum",,4,6,4,4.2,5.8
33,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,Piscidia piscipula,,Enterlobium cyclocarpum,,,,,,,5,5,"Swietenia macrophylla,  Cordia dodecandra, Piscidia piscipula,  Enterlobium cyclocarpum",,4,5,5,5.2,4.8
48,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,3,8,"Swietenia macrophylla, Cordia dodecandra,  Tabebuia rosea, Enterlobium cyclocarpum",,4,3,8,8.2,2.8
36,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,,Piscidia piscipula,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,1,6,"Swietenia macrophylla,  Piscidia piscipula, Tabebuia rosea, Enterlobium cyclocarpum",,4,1,6,6.2,0.8
54,Polyculture,black,Polyculture,#a6cee3,Swietenia macrophylla,,,Piscidia piscipula,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,1,10,"Swietenia macrophylla,  Piscidia piscipula, Tabebuia rosea, Enterlobium cyclocarpum",,4,1,10,10.2,0.8
4,Monoculture,black,Polyculture,#33a02c,,,,,,,1,,1,1,1,,4,1,Swietenia macrophylla,1,1,4,1,1.2,3.8
6,Monoculture,black,Polyculture,#33a02c,,,,,,,1,,1,1,1,,6,1,Swietenia macrophylla,1,1,6,1,1.2,5.8
9,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,,1,,1,2,2,Swietenia macrophylla,1,1,2,2,2.2,1.8
15,Monoculture,black,Polyculture,#33a02c,,,,,,,1,,1,1,1,,1,3,Swietenia macrophylla,1,1,1,3,3.2,0.8
18,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,1,1,,,4,3,Swietenia macrophylla,1,1,4,3,3.2,3.8
20,Monoculture,black,Polyculture,#33a02c,,,,,,,,1,1,,1,1,6,3,Swietenia macrophylla,1,1,6,3,3.2,5.8
23,Monoculture,black,Polyculture,#33a02c,,,,,,,1,,1,,1,1,2,4,Swietenia macrophylla,1,1,2,4,4.2,1.8
26,Monoculture,black,Polyculture,#33a02c,,,,,,,,1,1,1,1,,5,4,Swietenia macrophylla,1,1,5,4,4.2,4.8
28,Monoculture,black,Polyculture,#33a02c,,,,,,,,1,,1,1,1,7,4,Swietenia macrophylla,1,1,7,4,4.2,6.8
32,Monoculture,black,Polyculture,#33a02c,,,,,,,1,,1,1,,1,4,5,Swietenia macrophylla,1,1,4,5,5.2,3.8
37,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,,1,1,,2,6,Swietenia macrophylla,1,1,2,6,6.2,1.8
46,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,1,,1,,1,8,Swietenia macrophylla,1,1,1,8,8.2,0.8
49,Monoculture,black,Polyculture,#33a02c,,,,,,,1,,1,1,,1,4,8,Swietenia macrophylla,1,1,4,8,8.2,3.8
50,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,,,1,1,1,9,Swietenia macrophylla,1,1,1,9,9.2,0.8
55,Monoculture,black,Polyculture,#33a02c,,,,,,,,,1,1,1,1,2,10,Swietenia macrophylla,1,1,2,10,10.2,1.8
57,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,1,1,,,4,10,Swietenia macrophylla,1,1,4,10,10.2,3.8
66,Monoculture,black,Polyculture,#33a02c,,,,,,,1,1,,1,1,,1,13,Swietenia macrophylla,1,1,1,13,13.2,0.8
70,Monoculture,black,Polyculture,#33a02c,,,,,,,,1,,1,1,1,5,13,Swietenia macrophylla,1,1,5,13,13.2,4.8
72,Monoculture,black,Polyculture,#33a02c,,,,,,,,,1,1,1,1,2,14,Swietenia macrophylla,1,1,2,14,14.2,1.8
74,Monoculture,black,Polyculture,#33a02c,,,,,,,,1,1,,1,1,4,14,Swietenia macrophylla,1,1,4,14,14.2,3.8
